age_group,gender,city,toilet_cleanliness,toilet_safety,toilet_features,service_use,service_use_freq,transport_satisfaction,transport_suggestions,park_visiting,park_visit_freq,park_amenities,park_issues,transport_safety,park_suggestions,library_satisfaction,library_visit_freq,local_service_satisfaction,library_suggestions,local_service_suggestions,full_feedback,clean_text
18-35 ,Female,Kanakapura,Good,Neutral,Accessible facilities for people with disabilities,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Sports facilities,Lack of amenities,Yes,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Improve customer service Neutral Good Neutral No Neutral",clean comfortable vehicle sport equipment rental e book access improve customer service neutral good neutral neutral
18-35 ,Male,Chennai,Good,Neutral,Free Wi-Fi,No,Once a week,Very unsatisfied,More frequent buses/trains,Sometimes,More amenities,Restrooms,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Monthly,Satisfied,E book access,Invest in technology,More frequent buses/trains Electric vehicle charging stations E book access Invest in technology Satisfied Good Neutral No Very unsatisfied,frequent bus train electric vehicle charge station e book access invest technology satisfied good neutral unsatisfied
Oct-18,Male,Bengaluru,Fair,Very unsafe,Baby-changing facilities,No,A few times a week,Unsatisfied,Increased safety and security,No,Improved lighting and safety,Picnic area,Maintenance and cleanliness,Yes,Sports equipment rentals,Satisfied,Rarely,Very Dissatisfied,Language learning programs,Improve customer service,Increased safety and security Sports equipment rentals Language learning programs Improve customer service Very Dissatisfied Fair Very unsafe No Unsatisfied,increase safety security sport equipment rental language learning program improve customer service dissatisfied fair unsafe unsatisfied
36-50 ,Male,Mysuru,Good,Neutral,Free Wi-Fi,No,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Lack of amenities,Yes,Sports equipment rentals,Dissatisfied,Rarely,Very Dissatisfied,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Sports equipment rentals Language learning programs Invest in technology Very Dissatisfied Good Neutral No Unsatisfied",clean comfortable vehicle sport equipment rental language learning program invest technology dissatisfied good neutral unsatisfied
18-35 ,Male,Hyderabad,Fair,Very unsafe,Baby-changing facilities,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Rarely,Satisfied,"DIY workshop(crafting,painting)",Enhance community engagement,"Cleaner, more comfortable vehicles Sports equipment rentals DIY workshop(crafting,painting) Enhance community engagement Satisfied Fair Very unsafe No Unsatisfied",clean comfortable vehicle sport equipment rental diy painting enhance community engagement satisfy fair unsafe unsatisfied
51-70 ,Male,Andhra Pradesh,Fair,Very safe,Accessible facilities for people with disabilities,Yes,Never,Very satisfied,Increased safety and security,Sometimes,Better maintenance and cleanliness,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Quarterly,Very Dissatisfied,E book access,Enhance community engagement,Increased safety and security Electric vehicle charging stations E book access Enhance community engagement Very Dissatisfied Fair Very safe Yes Very satisfied,increase safety security electric vehicle charge station e book access enhance community engagement dissatisfied fair safe yes satisfied
36-50 ,Male,Mysuru,Good,Somewhat safe,Accessible facilities for people with disabilities,Yes,Once a week,Very satisfied,Reduced fares or free transfers,No,More amenities,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Never,Very Satisfied,"DIY workshop(crafting,painting)",Invest in technology,"Reduced fares or free transfers Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Very Satisfied Good Somewhat safe Yes Very satisfied",reduce fare free transfer electric vehicle charge station diy painting invest technology satisfied good somewhat safe yes satisfied
36-50 ,Male,Kanakapura,Poor,Very safe,Comfortable seating areas,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Sports facilities,Crowding and noise,Sometimes,Electric vehicle charging stations,Very Satisfied,Quarterly,Neutral,"DIY workshop(crafting,painting)",Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Neutral Poor Very safe No Unsatisfied",clean comfortable vehicle electric vehicle charge station diy painting invest technology neutral poor safe unsatisfied
18-35 ,Female,Mysuru,Excellent,Neutral,Accessible facilities for people with disabilities,Yes,Once a week,Very unsatisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Walking trails,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Rarely,Satisfied,Language learning programs,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations Language learning programs Improve customer service Satisfied Excellent Neutral Yes Very unsatisfied,reduce fare free transfer electric vehicle charge station language learning program improve customer service satisfy excellent neutral yes unsatisfied
Oct-18,Male,Palamaner,Poor,Somewhat safe,Baby-changing facilities,Yes,Never,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Walking trails,Lack of amenities,Yes,Electric vehicle charging stations,Dissatisfied,Never,Neutral,"DIY workshop(crafting,painting)",Invest in technology,"Reduced fares or free transfers Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Neutral Poor Somewhat safe Yes Neutral",reduce fare free transfer electric vehicle charge station diy painting invest technology neutral poor somewhat safe yes neutral
18-35 ,Female,Hyderabad,Fair,Very safe,Free Wi-Fi,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Invest in technology Neutral Fair Very safe Yes Neutral",clean comfortable vehicle electric vehicle charge station language learning program invest technology neutral fair safe yes neutral
36-50 ,Female,Bengaluru,Good,Somewhat unsafe,Comfortable seating areas,Yes,Never,Unsatisfied,Reduced fares or free transfers,Yes,More amenities,Sports facilities,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Satisfied,Quarterly,Very Satisfied,Language learning programs,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations Language learning programs Improve customer service Very Satisfied Good Somewhat unsafe Yes Unsatisfied,reduce fare free transfer electric vehicle charge station language learning program improve customer service satisfied good somewhat unsafe yes unsatisfie
18-35 ,Female,Chennai,Good,Somewhat safe,Accessible facilities for people with disabilities,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Very Satisfied,Monthly,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Improve customer service Neutral Good Somewhat safe No Unsatisfied",clean comfortable vehicle sport equipment rental e book access improve customer service neutral good somewhat safe unsatisfied
18-35 ,Female,Mysuru,Fair,Somewhat unsafe,Free Wi-Fi,No,Once a week,Very satisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Satisfied,Weekly,Neutral,"DIY workshop(crafting,painting)",Invest in technology,"Reduced fares or free transfers Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Neutral Fair Somewhat unsafe No Very satisfied",reduce fare free transfer electric vehicle charge station diy painting invest technology neutral fair somewhat unsafe satisfied
18-35 ,Female,Chennai,Fair,Neutral,Free Wi-Fi,Yes,Once a week,Very satisfied,Increased safety and security,No,Improved lighting and safety,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Rarely,Neutral,E book access,Improve customer service,Increased safety and security Electric vehicle charging stations E book access Improve customer service Neutral Fair Neutral Yes Very satisfied,increase safety security electric vehicle charge station e book access improve customer service neutral fair neutral yes satisfied
51-70 ,Female,Andhra Pradesh,Good,Somewhat safe,Baby-changing facilities,No,A few times a week,Very satisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Walking trails,Lack of amenities,Sometimes,Sports equipment rentals,Neutral,Never,Neutral,E book access,Invest in technology,"Cleaner, more comfortable vehicles Sports equipment rentals E book access Invest in technology Neutral Good Somewhat safe No Very satisfied",clean comfortable vehicle sport equipment rental e book access invest technology neutral good somewhat safe satisfied
51-70 ,Male,Mysuru,Fair,Somewhat safe,Free Wi-Fi,No,A few times a week,Very satisfied,Increased safety and security,Yes,More amenities,Restrooms,Lack of amenities,Sometimes,Electric vehicle charging stations,Very dissatisfied,Quarterly,Neutral,E book access,Enhance community engagement,Increased safety and security Electric vehicle charging stations E book access Enhance community engagement Neutral Fair Somewhat safe No Very satisfied,increase safety security electric vehicle charge station e book access enhance community engagement neutral fair somewhat safe satisfied
Oct-18,Female,Chennai,Good,Very safe,Comfortable seating areas,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Restrooms,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very Satisfied,Rarely,Neutral,Language learning programs,Increase transparency,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Increase transparency Neutral Good Very safe Yes Unsatisfied",clean comfortable vehicle electric vehicle charge station language learning program increase transparency neutral good safe yes unsatisfie
36-50 ,Female,Kanakapura,Fair,Very safe,Comfortable seating areas,Yes,A few times a week,Satisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Very Satisfied,Quarterly,Satisfied,E book access,Invest in technology,Reduced fares or free transfers Electric vehicle charging stations E book access Invest in technology Satisfied Fair Very safe Yes Satisfied,reduce fare free transfer electric vehicle charge station e book access invest technology satisfied fair safe yes satisfied
36-50 ,Male,Bengaluru,Poor,Somewhat safe,Baby-changing facilities,No,Everyday,Neutral,Reduced fares or free transfers,No,Improved lighting and safety,Sports facilities,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Dissatisfied,Monthly,Very Satisfied,E book access,Enhance community engagement,Reduced fares or free transfers Electric vehicle charging stations E book access Enhance community engagement Very Satisfied Poor Somewhat safe No Neutral,reduce fare free transfer electric vehicle charge station e book access enhance community engagement satisfied poor somewhat safe neutral
36-50 ,Female,Bengaluru,Fair,Somewhat safe,Baby-changing facilities,No,A few times a week,Very unsatisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Rarely,Dissatisfied,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Dissatisfied Fair Somewhat safe No Very unsatisfied",clean comfortable vehicle electric vehicle charge station e book access improve customer service dissatisfy fair somewhat safe unsatisfied
Oct-18,Female,Palamaner,Fair,Somewhat unsafe,Free Wi-Fi,Yes,Everyday,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Maintenance and cleanliness,Yes,Public restrooms,Neutral,Monthly,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology,"Cleaner, more comfortable vehicles Public restrooms DIY workshop(crafting,painting) Invest in technology Very Dissatisfied Fair Somewhat unsafe Yes Satisfied",clean comfortable vehicle public restroom diy painting invest technology dissatisfied fair somewhat unsafe yes satisfied
51-70 ,Female,Bengaluru,Poor,Somewhat unsafe,Comfortable seating areas,Yes,A few times a week,Neutral,Increased safety and security,Yes,More amenities,Picnic area,Lack of amenities,Sometimes,Public restrooms,Neutral,Monthly,Very Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology,"Increased safety and security Public restrooms DIY workshop(crafting,painting) Invest in technology Very Dissatisfied Poor Somewhat unsafe Yes Neutral",increase safety security public restroom diy painting invest technology dissatisfied poor somewhat unsafe yes neutral
18-35 ,Female,Palamaner,Good,Somewhat safe,Air conditioning or heating,No,A few times a week,Neutral,Increased safety and security,Sometimes,Better maintenance and cleanliness,Walking trails,Safety and security,No,Electric vehicle charging stations,Satisfied,Never,Dissatisfied,Language learning programs,Invest in technology,Increased safety and security Electric vehicle charging stations Language learning programs Invest in technology Dissatisfied Good Somewhat safe No Neutral,increase safety security electric vehicle charge station language learning program invest technology dissatisfied good somewhat safe neutral
36-50 ,Male,Mysuru,Good,Somewhat safe,Baby-changing facilities,Yes,Everyday,Satisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Sports facilities,Maintenance and cleanliness,No,Sports equipment rentals,Dissatisfied,Weekly,Neutral,"DIY workshop(crafting,painting)",Invest in technology,"Cleaner, more comfortable vehicles Sports equipment rentals DIY workshop(crafting,painting) Invest in technology Neutral Good Somewhat safe Yes Satisfied",clean comfortable vehicle sport equipment rental diy painting invest technology neutral good somewhat safe yes satisfied
18-35 ,Female,Hyderabad,Fair,Neutral,Comfortable seating areas,Yes,Everyday,Very satisfied,More frequent buses/trains,No,Increased programming and events,Restrooms,Lack of amenities,Sometimes,Sports equipment rentals,Satisfied,Rarely,Satisfied,E book access,Increase transparency,More frequent buses/trains Sports equipment rentals E book access Increase transparency Satisfied Fair Neutral Yes Very satisfied,frequent bus train sport equipment rental e book access increase transparency satisfied fair neutral yes satisfied
18-35 ,Female,Chennai,Fair,Neutral,Comfortable seating areas,Yes,A few times a week,Neutral,Increased safety and security,No,Improved lighting and safety,Picnic area,Lack of amenities,Yes,Electric vehicle charging stations,Satisfied,Monthly,Dissatisfied,E book access,Enhance community engagement,Increased safety and security Electric vehicle charging stations E book access Enhance community engagement Dissatisfied Fair Neutral Yes Neutral,increase safety security electric vehicle charge station e book access enhance community engagement dissatisfy fair neutral yes neutral
36-50 ,Male,Kanakapura,Good,Somewhat safe,Free Wi-Fi,No,Once a week,Neutral,More frequent buses/trains,Yes,Better maintenance and cleanliness,Playgrounds,Safety and security,No,Electric vehicle charging stations,Satisfied,Rarely,Very Dissatisfied,E book access,Increase transparency,More frequent buses/trains Electric vehicle charging stations E book access Increase transparency Very Dissatisfied Good Somewhat safe No Neutral,frequent bus train electric vehicle charge station e book access increase transparency dissatisfied good somewhat safe neutral
Oct-18,Male,Palamaner,Good,Neutral,Comfortable seating areas,Yes,A few times a week,Satisfied,More frequent buses/trains,No,More amenities,Playgrounds,Maintenance and cleanliness,No,Public restrooms,Neutral,Monthly,Neutral,E book access,Increase transparency,More frequent buses/trains Public restrooms E book access Increase transparency Neutral Good Neutral Yes Satisfied,frequent bus train public restroom e book access increase transparency neutral good neutral yes satisfy
51-70 ,Male,Hyderabad,Good,Neutral,Free Wi-Fi,No,Never,Very unsatisfied,Reduced fares or free transfers,No,More amenities,Picnic area,Lack of amenities,No,Public restrooms,Neutral,Rarely,Satisfied,"DIY workshop(crafting,painting)",Enhance community engagement,"Reduced fares or free transfers Public restrooms DIY workshop(crafting,painting) Enhance community engagement Satisfied Good Neutral No Very unsatisfied",reduce fare free transfer public restroom diy painting enhance community engagement satisfied good neutral unsatisfied
18-35 ,Male,Bengaluru,Good,Somewhat safe,Comfortable seating areas,No,Once a week,Very unsatisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Crowding and noise,No,Public restrooms,Very dissatisfied,Monthly,Satisfied,E book access,Increase transparency,"Cleaner, more comfortable vehicles Public restrooms E book access Increase transparency Satisfied Good Somewhat safe No Very unsatisfied",clean comfortable vehicle public restroom e book access increase transparency satisfy good somewhat safe unsatisfied
36-50 ,Male,Palamaner,Excellent,Somewhat unsafe,Baby-changing facilities,Yes,Once a week,Very satisfied,Reduced fares or free transfers,No,Improved lighting and safety,Picnic area,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Dissatisfied,Monthly,Very Dissatisfied,E book access,Invest in technology,Reduced fares or free transfers Electric vehicle charging stations E book access Invest in technology Very Dissatisfied Excellent Somewhat unsafe Yes Very satisfied,reduce fare free transfer electric vehicle charge station e book access invest technology dissatisfied excellent somewhat unsafe yes satisfied
Oct-18,Male,Mysuru,Good,Neutral,Accessible facilities for people with disabilities,Yes,A few times a week,Satisfied,Reduced fares or free transfers,Yes,Better maintenance and cleanliness,Sports facilities,Maintenance and cleanliness,Sometimes,Public restrooms,Dissatisfied,Monthly,Very Satisfied,E book access,Invest in technology,Reduced fares or free transfers Public restrooms E book access Invest in technology Very Satisfied Good Neutral Yes Satisfied,reduce fare free transfer public restroom e book access invest technology satisfied good neutral yes satisfy
36-50 ,Male,Kanakapura,Good,Neutral,Free Wi-Fi,Yes,A few times a week,Neutral,Increased safety and security,No,Increased programming and events,Restrooms,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Monthly,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service,"Increased safety and security Electric vehicle charging stations DIY workshop(crafting,painting) Improve customer service Dissatisfied Good Neutral Yes Neutral",increase safety security electric vehicle charge station diy painting improve customer service dissatisfied good neutral yes neutral
36-50 ,Male,Mysuru,Fair,Very unsafe,Baby-changing facilities,No,A few times a week,Unsatisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Picnic area,Safety and security,Yes,Electric vehicle charging stations,Very Satisfied,Rarely,Very Dissatisfied,E book access,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations E book access Improve customer service Very Dissatisfied Fair Very unsafe No Unsatisfied,reduce fare free transfer electric vehicle charge station e book access improve customer service dissatisfied fair unsafe unsatisfied
51-70 ,Female,Kanakapura,Excellent,Neutral,Free Wi-Fi,No,Once a week,Very unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Lack of amenities,No,Public restrooms,Dissatisfied,Monthly,Neutral,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Public restrooms Language learning programs Invest in technology Neutral Excellent Neutral No Very unsatisfied",clean comfortable vehicle public restroom language learning program invest technology neutral excellent neutral unsatisfied
Oct-18,Male,Palamaner,Fair,Somewhat safe,Air conditioning or heating,No,A few times a week,Unsatisfied,Increased safety and security,No,Increased programming and events,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Rarely,Dissatisfied,Language learning programs,Increase transparency,Increased safety and security Sports equipment rentals Language learning programs Increase transparency Dissatisfied Fair Somewhat safe No Unsatisfied,increase safety security sport equipment rental language learning program increase transparency dissatisfied fair somewhat safe unsatisfied
18-35 ,Male,Hyderabad,Poor,Somewhat unsafe,Accessible facilities for people with disabilities,Yes,Once a week,Unsatisfied,More frequent buses/trains,No,More amenities,Walking trails,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Very Satisfied,Monthly,Satisfied,E book access,Enhance community engagement,More frequent buses/trains Electric vehicle charging stations E book access Enhance community engagement Satisfied Poor Somewhat unsafe Yes Unsatisfied,frequent bus train electric vehicle charge station e book access enhance community engagement satisfied poor somewhat unsafe yes unsatisfie
51-70 ,Male,Kanakapura,Good,Somewhat safe,Comfortable seating areas,Yes,Once a week,Neutral,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Maintenance and cleanliness,Yes,Sports equipment rentals,Neutral,Weekly,Neutral,E book access,Increase transparency,Reduced fares or free transfers Sports equipment rentals E book access Increase transparency Neutral Good Somewhat safe Yes Neutral,reduce fare free transfer sport equipment rental e book access increase transparency neutral good somewhat safe yes neutral
51-70 ,Female,Kanakapura,Fair,Neutral,Accessible facilities for people with disabilities,No,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Lack of amenities,No,Public restrooms,Very Satisfied,Monthly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service,"Cleaner, more comfortable vehicles Public restrooms DIY workshop(crafting,painting) Improve customer service Satisfied Fair Neutral No Unsatisfied",clean comfortable vehicle public restroom diy painting improve customer service satisfied fair neutral unsatisfied
36-50 ,Male,Andhra Pradesh,Fair,Somewhat unsafe,Baby-changing facilities,No,Everyday,Very satisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Playgrounds,Crowding and noise,No,Electric vehicle charging stations,Neutral,Rarely,Satisfied,"DIY workshop(crafting,painting)",Invest in technology,"Cleaner, more comfortable vehicles Electric vehicle charging stations DIY workshop(crafting,painting) Invest in technology Satisfied Fair Somewhat unsafe No Very satisfied",clean comfortable vehicle electric vehicle charge station diy painting invest technology satisfied fair somewhat unsafe satisfied
18-35 ,Male,Mysuru,Fair,Somewhat safe,Baby-changing facilities,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Public restrooms,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Invest in technology,"Cleaner, more comfortable vehicles Public restrooms DIY workshop(crafting,painting) Invest in technology Neutral Fair Somewhat safe Yes Neutral",clean comfortable vehicle public restroom diy painting invest technology neutral fair somewhat safe yes neutral
51-70 ,Male,Mysuru,Fair,Somewhat safe,Free Wi-Fi,No,Never,Satisfied,Reduced fares or free transfers,Yes,More amenities,Walking trails,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Satisfied,E book access,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations E book access Improve customer service Satisfied Fair Somewhat safe No Satisfied,reduce fare free transfer electric vehicle charge station e book access improve customer service satisfied fair somewhat safe satisfied
36-50 ,Male,Tirupati,Good,Somewhat unsafe,Charging stations for phones and devices,No,A few times a week,Satisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Satisfied,Quarterly,Dissatisfied,Language learning programs,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations Language learning programs Improve customer service Dissatisfied Good Somewhat unsafe No Satisfied,reduce fare free transfer electric vehicle charge station language learning program improve customer service dissatisfied good somewhat unsafe satisfied
51-70 ,Female,Palamaner,Poor,Somewhat unsafe,Charging stations for phones and devices,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Sports facilities,Maintenance and cleanliness,Yes,Public restrooms,Very Satisfied,Monthly,Satisfied,Language learning programs,Invest in technology,"Cleaner, more comfortable vehicles Public restrooms Language learning programs Invest in technology Satisfied Poor Somewhat unsafe No Unsatisfied",clean comfortable vehicle public restroom language learning program invest technology satisfied poor somewhat unsafe unsatisfied
18-35 ,Female,Kanakapura,Good,Neutral,Comfortable seating areas,Yes,Once a week,Satisfied,Increased safety and security,No,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Sports equipment rentals,Satisfied,Monthly,Dissatisfied,E book access,Improve customer service,Increased safety and security Sports equipment rentals E book access Improve customer service Dissatisfied Good Neutral Yes Satisfied,increase safety security sport equipment rental e book access improve customer service dissatisfied good neutral yes satisfy
51-70 ,Male,Palamaner,Fair,Neutral,Comfortable seating areas,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Sports facilities,Lack of amenities,No,Electric vehicle charging stations,Very dissatisfied,Rarely,Neutral,E book access,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations E book access Improve customer service Neutral Fair Neutral No Satisfied",clean comfortable vehicle electric vehicle charge station e book access improve customer service neutral fair neutral satisfied
36-50 ,Male,Bengaluru,Fair,Somewhat safe,Baby-changing facilities,No,Once a week,Unsatisfied,More frequent buses/trains,No,Better maintenance and cleanliness,Playgrounds,Maintenance and cleanliness,No,Public restrooms,Very dissatisfied,Quarterly,Dissatisfied,E book access,Invest in technology,More frequent buses/trains Public restrooms E book access Invest in technology Dissatisfied Fair Somewhat safe No Unsatisfied,frequent bus train public restroom e book access invest technology dissatisfied fair somewhat safe unsatisfied
18-35 ,Female,Andhra Pradesh,Fair,Neutral,Accessible facilities for people with disabilities,No,Never,Satisfied,Increased safety and security,No,Improved lighting and safety,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Never,Dissatisfied,E book access,Improve customer service,Increased safety and security Electric vehicle charging stations E book access Improve customer service Dissatisfied Fair Neutral No Satisfied,increase safety security electric vehicle charge station e book access improve customer service dissatisfied fair neutral satisfied
Oct-18,Male,Palamaner,Fair,Somewhat safe,Accessible facilities for people with disabilities,Yes,Once a week,Satisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Sometimes,Electric vehicle charging stations,Satisfied,Rarely,Very Satisfied,E book access,Improve customer service,Reduced fares or free transfers Electric vehicle charging stations E book access Improve customer service Very Satisfied Fair Somewhat safe Yes Satisfied,reduce fare free transfer electric vehicle charge station e book access improve customer service satisfied fair somewhat safe yes satisfied
36-50 ,Female,Chennai,Fair,Neutral,Free Wi-Fi,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,More amenities,Picnic area,Lack of amenities,No,Sports equipment rentals,Satisfied,Never,Dissatisfied,"DIY workshop(crafting,painting)",Improve customer service,"Cleaner, more comfortable vehicles Sports equipment rentals DIY workshop(crafting,painting) Improve customer service Dissatisfied Fair Neutral No Unsatisfied",clean comfortable vehicle sport equipment rental diy painting improve customer service dissatisfied fair neutral unsatisfied
36-50 ,Male,Bengaluru,Good,Somewhat unsafe,Baby-changing facilities,Yes,Everyday,Very unsatisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Monthly,Very Satisfied,E book access,Invest in technology,Reduced fares or free transfers Electric vehicle charging stations E book access Invest in technology Very Satisfied Good Somewhat unsafe Yes Very unsatisfied,reduce fare free transfer electric vehicle charge station e book access invest technology satisfied good somewhat unsafe yes unsatisfied
Oct-18,Male,Kanakapura,Poor,Very unsafe,Free Wi-Fi,No,A few times a week,Unsatisfied,More frequent buses/trains,Sometimes,Increased programming and events,Picnic area,Crowding and noise,No,Electric vehicle charging stations,Satisfied,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service,"More frequent buses/trains Electric vehicle charging stations DIY workshop(crafting,painting) Improve customer service Satisfied Poor Very unsafe No Unsatisfied",frequent bus train electric vehicle charge station diy painting improve customer service satisfied poor unsafe unsatisfied
18-35 ,Male,Mysuru,Good,Very unsafe,Baby-changing facilities,No,Never,Satisfied,Reduced fares or free transfers,Yes,Increased programming and events,Picnic area,Crowding and noise,No,Sports equipment rentals,Very Satisfied,Never,Very Dissatisfied,E book access,Invest in technology,Reduced fares or free transfers Sports equipment rentals E book access Invest in technology Very Dissatisfied Good Very unsafe No Satisfied,reduce fare free transfer sport equipment rental e book access invest technology dissatisfied good unsafe satisfied
51-70 ,Male,Bengaluru,Good,Neutral,Baby-changing facilities,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Playgrounds,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Very Satisfied,Quarterly,Satisfied,Language learning programs,Improve customer service,"Cleaner, more comfortable vehicles Electric vehicle charging stations Language learning programs Improve customer service Satisfied Good Neutral No Unsatisfied",clean comfortable vehicle electric vehicle charge station language learning program improve customer service satisfied good neutral unsatisfied
51-70 ,Female,Palamaner,Poor,Neutral,Accessible facilities for people with disabilities,Yes,Everyday,Neutral,More frequent buses/trains,No,More amenities,Picnic area,Crowding and noise,Yes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,E book access,Improve customer service,More frequent buses/trains Electric vehicle charging stations E book access Improve customer service Neutral Poor Neutral Yes Neutral,frequent bus train electric vehicle charge station e book access improve customer service neutral poor neutral yes neutral
36-50 ,Female,Hyderabad,Fair,Very unsafe,Accessible facilities for people with disabilities,Yes,Everyday,Very unsatisfied,More frequent buses/trains,No,More amenities,Picnic area,Accessibility and inclusivity,Yes,Public restrooms,Satisfied,Quarterly,Neutral,E book access,Enhance community engagement,More frequent buses/trains Public restrooms E book access Enhance community engagement Neutral Fair Very unsafe Yes Very unsatisfied,frequent bus train public restroom e book access enhance community engagement neutral fair unsafe yes unsatisfied
