Timestamp,Age,Gender,City,How would you rate the overall cleanliness of the public toilets you have used in the past month?,How safe do you feel when using public toilets ?,What features would you like to see in public toilets to make them more comfortable and convenient? ,"Do you have public services like buses, parks , or libraries?","How often do you use public transportation (buses, trains,etc.)?",How satisfied are you with the public transportation in your area?,What changes would you like to see in public transportation?,Do you visit parks in your area?,What would make you more likely to visit local parks?,Which park amenities are most important to you?,What is the most significant issue or concern you face when visiting local parks? ,Do you feel safe using public transportation in your area?,Are there any new service you'd like to see in local parks? ,How satisfied are you with the services and resources offered by local libraries?, How often do you visit the library?,How satisfied are you with local public services overall?,What types of programs or services would you like to see offered at local libraries?, Do you have any suggestions for improving local public services?
10:05.7,18-35 years,Female,mysuru,,,,Yes,Once a week,Neutral,Reduced fares or free transfers,Sometimes,More amenities,Sports facilities,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Increase transparency
10:28.3,36-50 years,Female,mysuru,,,,No,Once a week,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Very Satisfied,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Invest in technology
10:44.4,36-50 years,Female,kanakapura,,,,Yes,Never,Neutral,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Satisfied,Quarterly,Very Satisfied,"DIY workshop(crafting,painting)",Increase transparency
11:03.9,18-35 years,Male,Hyderabad,,,,Yes,A few times a week,Neutral,Reduced fares or free transfers,Sometimes,More amenities,Playgrounds,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Quarterly,Neutral,Language learning programs,Improve customer service
11:25.5,36-50 years,Male,kanakapura,,,,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,E book access,Invest in technology
11:41.8,18-35 years,Male,mysuru,,,,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Quarterly,Neutral,Language learning programs,Improve customer service
12:02.8,36-50 years,Male,kanakapura,,,,Yes,A few times a week,Neutral,Increased safety and security,No,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Dissatisfied,Quarterly,Dissatisfied,E book access,Improve customer service
12:23.0,36-50 years,Male,chennai,,,,Yes,Once a week,Very unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Rarely,Neutral,E book access,Improve customer service
12:43.6,36-50 years,Male,kanakapura,,,,No,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Satisfied,Monthly,Very Dissatisfied,Language learning programs,Invest in technology
13:04.7,36-50 years,Male,Hyderabad,,,,Yes,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,Language learning programs,Improve customer service
13:29.9,18-35 years,Male,chennai,,,,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Lack of amenities,No,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Improve customer service
13:53.6,18-35 years,Male,mysuru,,,,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,More amenities,Picnic area,Lack of amenities,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,E book access,Enhance community engagement
14:11.4,36-50 years,Female,kanakapura,,,,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Satisfied,Quarterly,Dissatisfied,Language learning programs,Improve customer service
14:28.7,18-35 years,Male,Hyderabad,,,,Yes,Once a week,Neutral,Reduced fares or free transfers,Yes,More amenities,Walking trails,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
14:47.2,18-35 years,Female,Hyderabad,,,,Yes,Never,Neutral,"Cleaner, more comfortable vehicles",No,More amenities,Sports facilities,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Very Dissatisfied,E book access,Improve customer service
15:07.3,18-35 years,Male,kanakapura,,,,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Satisfied,Weekly,Neutral,Language learning programs,Improve customer service
15:20.1,36-50 years,Male,kanakapura,,,,No,Once a week,Unsatisfied,Reduced fares or free transfers,Sometimes,Improved lighting and safety,Walking trails,Lack of amenities,Sometimes,Sports equipment rentals,Satisfied,Rarely,Satisfied,E book access,Improve customer service
15:26.9,51-70 years,Male,mysuru,,,,No,Once a week,Neutral,More frequent buses/trains,Sometimes,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,E book access,Invest in technology
15:40.6,51-70 years,Male,Bengaluru,,,,No,Never,Very unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Walking trails,Crowding and noise,Yes,Sports equipment rentals,Very dissatisfied,Rarely,Neutral,E book access,Invest in technology
15:46.2,36-50 years,Male,mysuru,,,,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Yes,More amenities,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Increase transparency
15:57.8,36-50 years,Male,Hyderabad,,,,No,Once a week,Unsatisfied,Increased safety and security,No,Increased programming and events,Restrooms,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Weekly,Neutral,"DIY workshop(crafting,painting)",Improve customer service
16:08.9,18-35 years,Female,Hyderabad,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Lack of amenities,No,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,"DIY workshop(crafting,painting)",Increase transparency
16:17.5,18-35 years,Female,mysuru,,,,No,Once a week,Very unsatisfied,Reduced fares or free transfers,Sometimes,More amenities,Picnic area,Crowding and noise,Yes,Sports equipment rentals,Neutral,Rarely,Satisfied,Language learning programs,Improve customer service
16:28.5,51-70 years,Female,kanakapura,,,,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Satisfied,Quarterly,Satisfied,Language learning programs,Invest in technology
16:34.4,36-50 years,Male,Bengaluru,,,,No,Never,Unsatisfied,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Very Dissatisfied,E book access,Improve customer service
16:49.9,36-50 years,Female,kanakapura,,,,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Monthly,Neutral,Language learning programs,Improve customer service
16:51.0,36-50 years,Female,kanakapura,,,,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Monthly,Satisfied,E book access,Improve customer service
17:04.1,18-35 years,Male,Hyderabad,,,,Yes,A few times a week,Neutral,Reduced fares or free transfers,No,Improved lighting and safety,Sports facilities,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Monthly,Dissatisfied,E book access,Invest in technology
17:13.3,36-50 years,Female,kanakapura,,,,Yes,Everyday,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Lack of amenities,No,Sports equipment rentals,Neutral,Rarely,Neutral,Language learning programs,Invest in technology
17:18.6,36-50 years,Female,Bengaluru,,,,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,More amenities,Sports facilities,Safety and security,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Improve customer service
17:33.9,18-35 years,Male,Bengaluru,,,,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Restrooms,Lack of amenities,Sometimes,Electric vehicle charging stations,Very Satisfied,Never,Neutral,E book access,Invest in technology
17:37.6,36-50 years,Male,mysuru,,,,No,A few times a week,Neutral,Reduced fares or free transfers,No,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Dissatisfied,Rarely,Neutral,E book access,Improve customer service
17:53.4,18-35 years,Male,kanakapura,,,,Yes,Once a week,Neutral,Increased safety and security,No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Satisfied,Monthly,Satisfied,Language learning programs,Improve customer service
17:57.1,36-50 years,Male,palamaner,,,,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,More amenities,Picnic area,Safety and security,Yes,Sports equipment rentals,Satisfied,Quarterly,Very Dissatisfied,Language learning programs,Invest in technology
18:09.0,18-35 years,Female,mysuru,,,,No,Once a week,Satisfied,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Yes,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Increase transparency
18:23.9,51-70 years,Male,Hyderabad,,,,No,Never,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Crowding and noise,Sometimes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,Language learning programs,Improve customer service
18:25.3,36-50 years,Male,mysuru,,,,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Sports equipment rentals,Satisfied,Weekly,Neutral,E book access,Improve customer service
18:40.1,36-50 years,Male,Bengaluru,,,,No,A few times a week,Very unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Restrooms,Lack of amenities,Sometimes,Sports equipment rentals,Dissatisfied,Monthly,Neutral,Language learning programs,Enhance community engagement
18:41.3,18-35 years,Female,kanakapura,,,,No,Once a week,Neutral,More frequent buses/trains,Yes,Better maintenance and cleanliness,Walking trails,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,E book access,Invest in technology
18:58.0,36-50 years,Male,Andhra pradesh,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Walking trails,Crowding and noise,Sometimes,Sports equipment rentals,Neutral,Rarely,Satisfied,Language learning programs,Improve customer service
18:58.3,36-50 years,Male,mysuru,,,,Yes,Never,Very unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Monthly,Dissatisfied,E book access,Improve customer service
19:19.8,36-50 years,Female,palamaner,,,,No,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
19:32.2,36-50 years,Male,Hyderabad,,,,No,Once a week,Unsatisfied,Increased safety and security,Sometimes,Better maintenance and cleanliness,Walking trails,Lack of amenities,No,Sports equipment rentals,Neutral,Quarterly,Neutral,Language learning programs,Invest in technology
19:36.5,18-35 years,Female,Hyderabad,,,,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Rarely,Neutral,"DIY workshop(crafting,painting)",Invest in technology
19:53.4,18-35 years,Male,kanakapura,,,,No,Never,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Very Satisfied,Weekly,Dissatisfied,Language learning programs,Improve customer service
19:56.8,18-35 years,Female,Hyderabad,,,,No,Never,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Restrooms,Crowding and noise,Sometimes,Electric vehicle charging stations,Neutral,Weekly,Dissatisfied,Language learning programs,Improve customer service
20:08.4,18-35 years,Female,kanakapura,,,,No,Once a week,Unsatisfied,Increased safety and security,No,Increased programming and events,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Improve customer service
20:21.8,10-18 years,Female,kanakapura,,,,No,Once a week,Neutral,Reduced fares or free transfers,Yes,Increased programming and events,Walking trails,Lack of amenities,No,Sports equipment rentals,Satisfied,Quarterly,Very Satisfied,Language learning programs,Improve customer service
20:29.6,18-35 years,Female,kanakapura,,,,No,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Safety and security,No,Sports equipment rentals,Neutral,Monthly,Neutral,E book access,Invest in technology
20:55.2,10-18 years,Female,kanakapura,,,,No,Once a week,Unsatisfied,Reduced fares or free transfers,No,More amenities,Walking trails,Crowding and noise,No,Sports equipment rentals,Satisfied,Weekly,Dissatisfied,E book access,Invest in technology
20:56.6,36-50 years,Female,kanakapura,,,,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Rarely,Dissatisfied,E book access,Improve customer service
21:10.6,18-35 years,Male,Hyderabad,,,,No,Once a week,Very unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Picnic area,Maintenance and cleanliness,Sometimes,Public restrooms,Very dissatisfied,Quarterly,Very Dissatisfied,E book access,Improve customer service
21:17.7,18-35 years,Male,kanakapura,,,,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Very Satisfied,Quarterly,Neutral,Language learning programs,Improve customer service
21:25.6,36-50 years,Male,mysuru,,,,No,Never,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Picnic area,Accessibility and inclusivity,No,Electric vehicle charging stations,Very dissatisfied,Monthly,Neutral,E book access,Invest in technology
21:33.5,18-35 years,Male,kanakapura,,,,Yes,Once a week,Very satisfied,More frequent buses/trains,Yes,Better maintenance and cleanliness,Sports facilities,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Enhance community engagement
21:53.1,18-35 years,Male,Hyderabad,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Increase transparency
21:56.5,18-35 years,Male,kanakapura,,,,Yes,Never,Unsatisfied,Increased safety and security,Sometimes,Increased programming and events,Picnic area,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Satisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Invest in technology
22:15.2,18-35 years,Male,Bengaluru,,,,Yes,A few times a week,Neutral,Increased safety and security,No,More amenities,Sports facilities,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Neutral,Language learning programs,Invest in technology
22:21.9,36-50 years,Male,kanakapura,,,,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Restrooms,Crowding and noise,Sometimes,Electric vehicle charging stations,Very dissatisfied,Rarely,Dissatisfied,Language learning programs,Invest in technology
22:33.5,18-35 years,Female,kanakapura,,,,Yes,Once a week,Neutral,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Maintenance and cleanliness,Yes,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Invest in technology
22:36.7,36-50 years,Male,mysuru,,,,No,Once a week,Very unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Quarterly,Dissatisfied,E book access,Invest in technology
22:49.1,18-35 years,Male,kanakapura,,,,Yes,A few times a week,Satisfied,Reduced fares or free transfers,No,More amenities,Playgrounds,Lack of amenities,Yes,Sports equipment rentals,Satisfied,Quarterly,Very Satisfied,E book access,Invest in technology
22:59.3,51-70 years,Female,Hyderabad,,,,Yes,Never,Satisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Walking trails,Maintenance and cleanliness,No,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,Language learning programs,Improve customer service
23:03.7,18-35 years,Male,kanakapura,,,,No,Never,Unsatisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Walking trails,Accessibility and inclusivity,Yes,Public restrooms,Satisfied,Quarterly,Satisfied,E book access,Improve customer service
23:18.0,10-18 years,Male,mysuru,,,,No,Once a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Quarterly,Dissatisfied,Language learning programs,Improve customer service
23:19.7,36-50 years,Male,chennai,,,,Yes,Never,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Monthly,Very Satisfied,E book access,Improve customer service
23:33.2,18-35 years,Female,kanakapura,,,,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Picnic area,Accessibility and inclusivity,Yes,Public restrooms,Neutral,Monthly,Dissatisfied,Language learning programs,Invest in technology
23:37.0,36-50 years,Female,mysuru,,,,No,Once a week,Neutral,Reduced fares or free transfers,No,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Sometimes,Sports equipment rentals,Satisfied,Quarterly,Neutral,Language learning programs,Invest in technology
23:52.4,36-50 years,Female,kanakapura,,,,No,Never,Unsatisfied,Increased safety and security,Yes,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,Yes,Sports equipment rentals,Dissatisfied,Monthly,Dissatisfied,E book access,Improve customer service
23:54.8,18-35 years,Male,Hyderabad,,,,No,Once a week,Neutral,Reduced fares or free transfers,No,More amenities,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Increase transparency
24:10.9,36-50 years,Female,kanakapura,,,,Yes,A few times a week,Neutral,More frequent buses/trains,Yes,More amenities,Sports facilities,Safety and security,No,Sports equipment rentals,Neutral,Quarterly,Dissatisfied,E book access,Improve customer service
24:27.9,36-50 years,Male,kanakapura,,,,No,A few times a week,Neutral,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Neutral,Quarterly,Neutral,Language learning programs,Improve customer service
24:47.7,18-35 years,Male,kanakapura,,,,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Better maintenance and cleanliness,Picnic area,Lack of amenities,No,Electric vehicle charging stations,Neutral,Monthly,Dissatisfied,"DIY workshop(crafting,painting)",Invest in technology
25:04.2,18-35 years,Male,kanakapura,,,,No,Never,Satisfied,More frequent buses/trains,Yes,Improved lighting and safety,Walking trails,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Quarterly,Satisfied,E book access,Increase transparency
25:22.5,10-18 years,Male,kanakapura,,,,Yes,A few times a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,E book access,Improve customer service
25:43.7,18-35 years,Female,mysuru,,,,Yes,Once a week,Neutral,Reduced fares or free transfers,No,More amenities,Walking trails,Maintenance and cleanliness,Yes,Sports equipment rentals,Neutral,Rarely,Satisfied,E book access,Invest in technology
26:09.8,18-35 years,Male,kanakapura,,,,No,Once a week,Neutral,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Dissatisfied,Rarely,Dissatisfied,Language learning programs,Enhance community engagement
26:30.5,36-50 years,Male,mysuru,,,,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",Yes,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Quarterly,Neutral,E book access,Invest in technology
26:49.1,36-50 years,Male,Hyderabad,,,,Yes,Once a week,Very satisfied,More frequent buses/trains,No,Increased programming and events,Walking trails,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Dissatisfied,Rarely,Dissatisfied,Language learning programs,Increase transparency
27:08.4,18-35 years,Male,Hyderabad,,,,Yes,A few times a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Restrooms,Lack of amenities,Sometimes,Sports equipment rentals,Neutral,Quarterly,Dissatisfied,Language learning programs,Invest in technology
27:35.9,36-50 years,Male,kanakapura,,,,Yes,A few times a week,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Sports facilities,Safety and security,Sometimes,Electric vehicle charging stations,Neutral,Quarterly,Dissatisfied,E book access,Invest in technology
27:59.7,18-35 years,Female,Hyderabad,,,,Yes,Once a week,Neutral,Reduced fares or free transfers,No,More amenities,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,"DIY workshop(crafting,painting)",Increase transparency
28:18.3,18-35 years,Male,Hyderabad,,,,Yes,Everyday,Satisfied,Reduced fares or free transfers,Yes,More amenities,Walking trails,Lack of amenities,Sometimes,Sports equipment rentals,Very Satisfied,Quarterly,Neutral,E book access,Improve customer service
28:34.7,18-35 years,Male,Hyderabad,,,,No,Once a week,Neutral,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Lack of amenities,Yes,Electric vehicle charging stations,Neutral,Monthly,Satisfied,"DIY workshop(crafting,painting)",Invest in technology
29:03.5,18-35 years,Male,Hyderabad,,,,Yes,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Lack of amenities,Yes,Sports equipment rentals,Neutral,Monthly,Neutral,E book access,Enhance community engagement
29:35.8,18-35 years,Male,kanakapura,,,,No,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Electric vehicle charging stations,Neutral,Rarely,Neutral,E book access,Improve customer service
30:03.7,18-35 years,Male,Bengaluru,,,,Yes,A few times a week,Satisfied,"Cleaner, more comfortable vehicles",No,More amenities,Walking trails,Lack of amenities,Sometimes,Electric vehicle charging stations,Dissatisfied,Quarterly,Neutral,Language learning programs,Invest in technology
30:24.9,18-35 years,Male,chennai,,,,No,Once a week,Satisfied,"Cleaner, more comfortable vehicles",No,Improved lighting and safety,Walking trails,Lack of amenities,No,Sports equipment rentals,Dissatisfied,Monthly,Neutral,Language learning programs,Improve customer service
30:41.0,18-35 years,Male,kanakapura,,,,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,Yes,More amenities,Sports facilities,Maintenance and cleanliness,Sometimes,Electric vehicle charging stations,Neutral,Monthly,Neutral,E book access,Improve customer service
30:59.5,36-50 years,Female,kanakapura,,,,Yes,A few times a week,Neutral,Reduced fares or free transfers,No,More amenities,Sports facilities,Lack of amenities,Yes,Electric vehicle charging stations,Neutral,Never,Neutral,E book access,Invest in technology
31:21.2,18-35 years,Male,kanakapura,,,,Yes,Never,Neutral,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,"DIY workshop(crafting,painting)",Invest in technology
31:37.9,36-50 years,Female,Hyderabad,,,,Yes,Everyday,Neutral,Reduced fares or free transfers,No,Better maintenance and cleanliness,Picnic area,Maintenance and cleanliness,No,Sports equipment rentals,Neutral,Monthly,Neutral,E book access,Increase transparency
31:58.3,36-50 years,Male,kanakapura,,,,No,Once a week,Neutral,Increased safety and security,Sometimes,Increased programming and events,Walking trails,Maintenance and cleanliness,No,Electric vehicle charging stations,Satisfied,Monthly,Very Satisfied,"DIY workshop(crafting,painting)",Improve customer service
32:22.3,51-70 years,Female,mysuru,,,,Yes,Never,Unsatisfied,"Cleaner, more comfortable vehicles",Yes,Better maintenance and cleanliness,Picnic area,Accessibility and inclusivity,No,Sports equipment rentals,Satisfied,Quarterly,Satisfied,E book access,Invest in technology
32:36.9,10-18 years,Male,mysuru,,,,No,A few times a week,Satisfied,More frequent buses/trains,Yes,Increased programming and events,Walking trails,Lack of amenities,No,Sports equipment rentals,Neutral,Monthly,Satisfied,"DIY workshop(crafting,painting)",Improve customer service
33:02.5,10-18 years,Male,mysuru,,,,Yes,Once a week,Unsatisfied,Reduced fares or free transfers,No,Increased programming and events,Picnic area,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Satisfied,Quarterly,Neutral,"DIY workshop(crafting,painting)",Improve customer service
33:19.7,18-35 years,Male,chennai,,,,No,Never,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Sports facilities,Accessibility and inclusivity,Yes,Sports equipment rentals,Dissatisfied,Quarterly,Neutral,E book access,Invest in technology
33:48.9,36-50 years,Female,kanakapura,,,,No,Never,Neutral,Reduced fares or free transfers,No,Increased programming and events,Sports facilities,Lack of amenities,No,Sports equipment rentals,Neutral,Quarterly,Neutral,Language learning programs,Invest in technology
34:08.8,10-18 years,Female,mysuru,,,,No,Once a week,Satisfied,Reduced fares or free transfers,No,Better maintenance and cleanliness,Sports facilities,Maintenance and cleanliness,Yes,Electric vehicle charging stations,Dissatisfied,Never,Neutral,Language learning programs,Enhance community engagement
34:23.8,36-50 years,Female,chennai,,,,No,A few times a week,Very satisfied,Reduced fares or free transfers,No,Increased programming and events,Walking trails,Safety and security,No,Electric vehicle charging stations,Neutral,Monthly,Neutral,E book access,Invest in technology
34:42.0,18-35 years,Male,kanakapura,,,,No,Never,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Neutral,Quarterly,Satisfied,Language learning programs,Invest in technology
35:07.3,18-35 years,Male,kanakapura,,,,Yes,Once a week,Neutral,Reduced fares or free transfers,Sometimes,More amenities,Walking trails,Accessibility and inclusivity,No,Sports equipment rentals,Dissatisfied,Rarely,Neutral,"DIY workshop(crafting,painting)",Invest in technology
35:24.3,36-50 years,Male,mysuru,,,,Yes,Once a week,Neutral,"Cleaner, more comfortable vehicles",No,Increased programming and events,Playgrounds,Safety and security,Yes,Electric vehicle charging stations,Very Satisfied,Weekly,Neutral,Language learning programs,Invest in technology
35:42.8,18-35 years,Male,mysuru,,,,Yes,Once a week,Unsatisfied,"Cleaner, more comfortable vehicles",Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,Yes,Sports equipment rentals,Neutral,Rarely,Dissatisfied,Language learning programs,Invest in technology
36:03.4,18-35 years,Male,chennai,,,,Yes,A few times a week,Satisfied,More frequent buses/trains,Sometimes,Increased programming and events,Sports facilities,Maintenance and cleanliness,No,Sports equipment rentals,Satisfied,Quarterly,Neutral,E book access,Invest in technology
36:18.7,18-35 years,Male,palamaner,,,,No,Never,Neutral,Reduced fares or free transfers,Sometimes,Increased programming and events,Walking trails,Accessibility and inclusivity,Yes,Electric vehicle charging stations,Neutral,Quarterly,Satisfied,Language learning programs,Invest in technology
36:32.3,36-50 years,Male,Hyderabad,,,,Yes,Once a week,Satisfied,Reduced fares or free transfers,No,More amenities,Picnic area,Maintenance and cleanliness,No,Electric vehicle charging stations,Neutral,Quarterly,Neutral,"DIY workshop(crafting,painting)",Improve customer service
